"","ensgene","name","module","mm"
"9558","ENSG00000254461","RP11-755F10.3","blue",0.687750067585123
"9559","ENSG00000254855","RP11-867G23.1","darkgreen",0.724057909158318
"9560","ENSG00000254762","RP11-867G23.2","darkgreen",0.573130946223142
"9561","ENSG00000174903","RAB1B","darkmagenta",0.80797590927632
"9562","ENSG00000254452","RP11-867G23.4","darkolivegreen",0.859440967372886
"9563","ENSG00000174871","CNIH2","red",0.455321325457813
"9564","ENSG00000174851","YIF1A","white",0.749461663845543
"9565","ENSG00000174807","CD248","yellow",0.839383072369627
"9566","ENSG00000174791","RIN1","mediumpurple3",0.792036787899167
"9567","ENSG00000254756","RP11-867G23.12","mediumpurple3",0.691671183317066
"9568","ENSG00000174744","BRMS1","brown4",0.839440937511895
"9569","ENSG00000174684","B3GNT1","brown",0.796897824308362
"9570","ENSG00000255468","RP11-867G23.8","darkturquoise",0.811958933903846
"9571","ENSG00000174669","SLC29A2","pink",0.613775825149645
"9572","ENSG00000174547","MRPL11","grey60",0.795626571868512
"9573","ENSG00000174516","PELI3","antiquewhite4",0.539845883637943
"9574","ENSG00000255517","CTD-3074O7.5","darkorange2",0.550636416645207
"9575","ENSG00000254986","DPP3","white",0.837596588689129
"9576","ENSG00000174165","ZDHHC24","brown4",0.740297071052144
"9577","ENSG00000269990","CTD-3074O7.12","plum2",0.658778682979795
"9578","ENSG00000174080","CTSF","turquoise",0.783238518643848
"9579","ENSG00000173992","CCS","magenta",0.595592993900984
"9580","ENSG00000239306","RBM14","navajowhite2",0.586762373664117
"9581","ENSG00000173933","RBM4","darkgreen",0.481731141174924
"9582","ENSG00000173914","RBM4B","black",0.8593866826728
"9583","ENSG00000258297","RP11-658F2.8","greenyellow",0.773649164463383
"9584","ENSG00000173898","SPTBN2","turquoise",0.642079535221404
"9585","ENSG00000173715","C11orf80","tan",0.645450375219509
"9586","ENSG00000173653","RCE1","orange",0.750360124233254
"9587","ENSG00000173599","PC","ivory",0.883590094262891
"9588","ENSG00000173227","SYT12","orange",0.656261347436482
"9589","ENSG00000173156","RHOD","orange",0.786990176019088
"9590","ENSG00000173120","KDM2A","pink",0.672464613368861
"9591","ENSG00000173020","ADRBK1","darkgreen",0.823298613535843
"9592","ENSG00000172932","ANKRD13D","darkgreen",0.843408887881864
"9593","ENSG00000172830","SSH3","darkolivegreen",0.726046711041215
"9594","ENSG00000175482","POLD4","brown4",0.742194373024056
"9595","ENSG00000256514","AP003419.11","brown4",0.73321335683615
"9596","ENSG00000175505","CLCF1","orange",0.856519188463513
"9597","ENSG00000172613","RAD9A","navajowhite2",0.637476036306125
"9598","ENSG00000172531","PPP1CA","white",0.808156957666355
"9599","ENSG00000175463","TBC1D10C","floralwhite",0.839137770152739
"9600","ENSG00000172508","CARNS1","maroon",0.529506108639984
"9601","ENSG00000175634","RPS6KB2","darkmagenta",0.722304121435615
"9602","ENSG00000255949","AP003419.16","darkolivegreen",0.687253612568274
"9603","ENSG00000213402","PTPRCAP","lightsteelblue1",0.739081283483308
"9604","ENSG00000172725","CORO1B","tan",0.788093325593175
"9605","ENSG00000269913","CTC-1337H24.1","thistle2",0.641952087073867
"9606","ENSG00000172663","TMEM134","brown4",0.637433446833043
"9607","ENSG00000110711","AIP","antiquewhite4",0.776064447079491
"9608","ENSG00000110697","PITPNM1","orange",0.799448821160931
"9609","ENSG00000167797","CDK2AP2","salmon",0.739119664022759
"9610","ENSG00000084207","GSTP1","plum1",0.869490801097261
"9611","ENSG00000167792","NDUFV1","darkorange2",0.681270573422506
"9612","ENSG00000231793","DOC2GP","magenta",0.645234624272069
"9613","ENSG00000167799","NUDT8","darkorange2",0.602932786010294
"9614","ENSG00000167800","TBX10","magenta",0.724645846614755
"9615","ENSG00000132744","ACY3","turquoise",0.831416678195024
"9616","ENSG00000160172","FAM86C2P","plum2",0.450323683569363
"9617","ENSG00000251637","RP11-119D9.1","turquoise",0.885738682757211
"9618","ENSG00000110057","UNC93B1","bisque4",0.663755828806393
"9619","ENSG00000006534","ALDH3B1","coral1",0.602150569311448
