"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k.","Density","Centralization","Heterogeneity"
"1",1,0.925474934483494,8.56034247110452,0.904728165660865,12969.2227695647,13187.9051542163,15197.7368521359,0.64440140959777,0.110739121027983,0.101485269756243
"2",2,0.869756193965685,3.85412743109145,0.892037963264011,8668.51845258031,8870.640404657,11768.6306711472,0.43071243429297,0.154050497081048,0.196035137636172
"3",3,0.762009026366933,2.04785720327052,0.943127385902752,5985.40514149534,6105.9339003497,9314.48247726892,0.297396658128557,0.165428211058196,0.284913556215453
"4",4,0.446435159835149,1.08571595974022,0.922721587559134,4253.75676813713,4285.98938417748,7573.36334012193,0.211356293756192,0.16495759071721,0.368562479752807
"5",5,0.0376843522311356,0.215483595333768,0.741293632258731,3101.2706369941,3056.62169892289,6264.16058790534,0.154092747540202,0.157170042501163,0.447238253665478
"6",6,0.0815478159485811,-0.298171924299123,0.657569651691665,2312.57304461283,2210.0119159205,5254.48726385294,0.114904752291207,0.146189336350299,0.521183158393791
"7",7,0.298268671120346,-0.623969430319638,0.682245899302129,1759.07322381396,1619.71669768235,4459.07124045524,0.0874030221511456,0.134168058204588,0.590670267594864
"8",8,0.426715189326356,-0.848471869352981,0.70230455269179,1361.71849508658,1202.99289601495,3821.10458906479,0.0676596688406329,0.122211592219945,0.656005282591865
"9",9,0.508691934217288,-0.983472441043708,0.74202906274442,1070.57596212013,903.961244872014,3301.5824921985,0.0531936779350157,0.11086297550497,0.71751414808974
"10",10,0.565493595236334,-1.07203006640167,0.774040652507672,853.304143107342,684.837206980044,2872.99230726991,0.0423980991308428,0.100362162303204,0.775528223078242
"11",11,0.601589151732401,-1.15547516311534,0.791100445569971,688.462920089908,524.718275462295,2515.45623761731,0.0342076378858148,0.0907867873437692,0.830371689539361
"12",12,0.629609847935689,-1.20871108291165,0.812683093230068,561.53029340441,405.144944578117,2214.30306084269,0.0279007400081691,0.0821294354639811,0.882352566837545
"13",13,0.652551843099874,-1.25301930811799,0.828774375515787,462.473014600241,315.406309712854,1958.49730607949,0.0229788837623095,0.0743403043178359,0.931757207325086
"14",14,0.673107999060056,-1.28475031047265,0.845715698484565,384.231113022355,246.736416300708,1739.59734009787,0.0190912805834421,0.0673507364531375,0.978847592091261
"15",15,0.692448689211566,-1.31067559747677,0.862659294383502,321.752308326834,194.582264987468,1551.72992121652,0.0159868979591987,0.0611199367330679,1.02386064604534
"16",16,0.700250204761734,-1.34640198372225,0.873063786387894,271.364464648418,154.367646663743,1396.90595365341,0.0134832785773834,0.055930306273467,1.06700888617599
"17",17,0.710243985078376,-1.37982541204349,0.883353329707048,230.360097990071,123.52256077026,1261.8038210005,0.0114458957562393,0.0512544085627772,1.10848187067582
"18",18,0.71333513053084,-1.41557486976046,0.887982981160878,196.716459515462,99.3402739628608,1143.30696824732,0.00977424523081892,0.047037890283132,1.14844806744132
"19",19,0.717064840026085,-1.4412396174639,0.895449076738749,168.903865065102,80.0003386838246,1038.89103949822,0.00839232162700498,0.0432313242962264,1.18705688499334
"20",20,0.728139984579191,-1.46374042544084,0.904205523555101,145.752439699098,64.9273545839979,946.492464822989,0.00724199740132655,0.0397903011911135,1.22444070269006
"21",21,0.736267352223674,-1.48428942501336,0.911892265966097,126.358147688659,52.9295850950249,864.410244468066,0.00627835375577159,0.0366752183032711,1.26071680365399
"22",22,0.742877926738087,-1.49986806729654,0.919045328707904,110.015639241587,43.3880398142487,791.231587165089,0.00546634399491139,0.033850921514598,1.29598915888431
"23",23,0.750264804405556,-1.51486689981262,0.924322035204503,96.1696607053143,35.6702145228908,725.774937226803,0.00477837924601582,0.0312862886808091,1.33035004026998
"24",24,0.758647721390942,-1.52945627162919,0.931955094280709,84.3794852698797,29.5699384219256,667.045846825308,0.00419256112838516,0.0289538043469647,1.36388145837177
"25",25,0.762603523682176,-1.54516485477129,0.936139743896411,74.2925899933863,24.6399590145394,614.202454082336,0.00369137384444928,0.0268291523267225,1.39665643149008
"26",26,0.767259799278416,-1.5619006444696,0.939109515787086,65.6249758149405,20.6842000523803,566.528226350434,0.00326070634079999,0.0248908392000654,1.42874009826316
"27",27,0.774945046004517,-1.56669434512157,0.944892833649774,58.1463127271805,17.3619604895332,523.410256281834,0.00288911421679323,0.0231198539682596,1.46019068864011
"28",28,0.77605888186649,-1.58065313416531,0.945737225579072,51.6686260185901,14.6093799903626,484.321843295798,0.00256725757818693,0.0214993646959271,1.49106036875817
"29",29,0.779203749874535,-1.59303870741022,0.947026398011839,46.0376065614521,12.4110196844743,448.808412251032,0.00228746927166114,0.0200144505913717,1.52139597481991
"30",30,0.784929731412309,-1.60144747958641,0.951433665224188,41.1258834643358,10.4546060807488,416.476052770593,0.00204342062329006,0.0186518667984913,1.55123965002876
